190038 329891
0 41.984349 -87.827359
1 41.984149 -87.824972
2 41.983945 -87.821168
3 41.983621 -87.820655
4 41.984423 -87.828824
5 41.983432 -87.817823
6 41.983047 -87.816242
7 41.983027 -87.817186
8 41.982197 -87.811532
9 41.982205 -87.809508
10 41.982255 -87.803860
11 41.982288 -87.799174
12 41.902193 -87.661487
13 41.900951 -87.660940
14 41.900348 -87.660683
15 41.899036 -87.660089
16 41.896667 -87.658834
17 41.896000 -87.658255
18 41.895493 -87.657719
19 41.895088 -87.657186
20 41.894301 -87.655976
21 41.893537 -87.654869
22 41.892705 -87.653613
23 41.892229 -87.652834
24 41.891514 -87.651727
25 41.888343 -87.647531
26 41.886973 -87.646614
27 41.885929 -87.646219
28 41.883997 -87.646069
29 41.857367 -87.644363
30 41.857056 -87.644357
31 41.845539 -87.650673
32 41.845286 -87.651786
33 41.844955 -87.652708
34 41.842784 -87.657789
35 41.840603 -87.662076
36 41.837952 -87.666912
37 41.837651 -87.667883
38 41.837422 -87.669478
39 41.837220 -87.678422
40 41.837175 -87.679199
41 41.837032 -87.680151
42 41.836863 -87.680834
43 41.836612 -87.681641
44 41.831212 -87.698834
45 41.820909 -87.731570
46 41.847923 -87.620695
47 41.847885 -87.622664
48 41.847827 -87.623841
49 41.847737 -87.624498
50 41.847518 -87.625450
51 41.847236 -87.626429
52 41.847040 -87.627172
53 41.846962 -87.627591
54 41.847217 -87.636005
55 41.847059 -87.642466
56 41.846749 -87.643823
57 41.846147 -87.645335
58 41.845810 -87.646326
59 41.845537 -87.647789
60 41.845263 -87.650541
61 41.845060 -87.651362
62 41.844622 -87.652533
63 41.842739 -87.657115
64 41.840411 -87.661914
65 41.839102 -87.664226
66 41.837236 -87.668864
67 41.837148 -87.670169
68 41.836988 -87.677918
69 41.836908 -87.679298
70 41.836827 -87.679829
71 41.836574 -87.680868
72 41.830955 -87.698774
73 41.826338 -87.713445
74 41.823856 -87.721339
75 41.820663 -87.731470
76 41.859380 -87.617183
77 41.860335 -87.617619
78 41.861647 -87.618159
79 41.865968 -87.619224
80 41.866556 -87.619221
81 41.867201 -87.618956
82 41.868747 -87.617530
83 41.869267 -87.617168
84 41.869630 -87.617036
85 41.880924 -87.617244
86 41.909206 -87.625663
87 41.911091 -87.625780
88 41.911482 -87.625785
89 41.912436 -87.625995
90 41.912874 -87.626212
91 41.916993 -87.628294
92 41.918907 -87.629040
93 41.920142 -87.629379
94 41.921221 -87.629625
95 41.924614 -87.630677
96 41.921242 -87.629822
97 41.918735 -87.629189
98 41.916542 -87.628295
99 41.912733 -87.626339
100 41.912297 -87.626142
101 41.911698 -87.626014
102 41.909265 -87.625892
103 41.920107 -87.629575
104 41.925747 -87.633628
105 41.931132 -87.637135
106 41.932294 -87.638681
107 41.925619 -87.639111
108 41.928689 -87.642314
109 41.929633 -87.642877
110 41.929685 -87.639272
111 41.926222 -87.630677
112 41.876058 -87.666006
113 41.875815 -87.681004
114 41.875658 -87.697235
115 41.875598 -87.698592
116 41.875465 -87.700044
117 41.875371 -87.700760
118 41.874533 -87.706608
119 41.874348 -87.708052
120 41.874284 -87.709151
121 41.874271 -87.710199
122 41.873999 -87.732045
123 41.873967 -87.732949
124 41.873883 -87.733714
125 41.873693 -87.734661
126 41.873432 -87.735509
127 41.873146 -87.736200
128 41.872633 -87.737261
129 41.872115 -87.738763
130 41.871955 -87.739541
131 41.871850 -87.740938
132 41.871731 -87.751426
133 41.871596 -87.761022
134 41.871504 -87.762607
135 41.871352 -87.764019
136 41.871237 -87.765019
137 41.871060 -87.766569
138 41.795133 -87.742764
139 41.794689 -87.742706
140 41.793873 -87.742288
141 41.792791 -87.741719
142 41.792097 -87.741485
143 41.791339 -87.741459
144 41.807626 -87.743265
145 41.793086 -87.741856
146 41.822114 -87.726859
147 41.851988 -87.613314
148 41.849841 -87.612635
149 41.982191 -87.812129
150 41.982345 -87.792871
151 41.982355 -87.790022
152 41.982377 -87.787565
153 41.982387 -87.786340
154 41.982381 -87.786003
155 41.982349 -87.785408
156 41.982303 -87.784998
157 41.981754 -87.783070
158 41.981608 -87.782771
159 41.979435 -87.778909
160 41.976747 -87.774160
161 41.974600 -87.770377
162 41.972613 -87.766865
